agg_trade_id,price,quantity,first_trade_id,last_trade_id,transact_time,is_buyer_maker
1253731,114394.0,15.0,2179479,2179480,1758591423048,false
1253732,114409.7,97.0,2179481,2179485,1758591446118,false
1253733,114410.3,61.0,2179486,2179486,1758591446118,false
1253734,114410.4,200.0,2179487,2179487,1758591446118,false
1253735,114410.9,2.0,2179488,2179488,1758591446118,false
1253736,114417.1,10.0,2179489,2179489,1758591446118,false
1253737,114419.9,78.0,2179490,2179490,1758591446118,false
1253738,114420.0,250.0,2179491,2179491,1758591446118,false
1253739,114421.2,1.0,2179492,2179492,1758591446118,false
1253740,114423.4,206.0,2179493,2179493,1758591446118,false
1253741,114423.5,239.0,2179494,2179494,1758591446118,false
1253742,114409.6,174.0,2179495,2179497,1758591447643,true
1253743,114395.7,5.0,2179498,2179498,1758591454911,false
1253744,114395.6,59.0,2179499,2179499,1758591460079,true
1253745,114352.2,23.0,2179500,2179501,1758591517710,false
1253746,114375.2,152.0,2179502,2179508,1758591592878,false
1253747,114375.4,61.0,2179509,2179509,1758591592879,false
1253748,114375.5,200.0,2179510,2179510,1758591592879,false
1253749,114376.9,2.0,2179511,2179511,1758591592879,false
1253750,114383.9,1.0,2179512,2179512,1758591610088,true
1253751,114383.9,13.0,2179513,2179513,1758591610289,true
1253752,114380.0,55.0,2179514,2179517,1758591611191,true
1253753,114380.0,1.0,2179518,2179518,1758591611403,true
1253754,114380.0,158.0,2179519,2179520,1758591615271,true
1253755,114360.4,48.0,2179521,2179522,1758591615417,true
1253756,114334.7,54.0,2179523,2179523,1758591629165,true
1253757,114327.7,108.0,2179524,2179524,1758591629167,true
1253758,114300.1,48.0,2179525,2179525,1758591629269,true
1253759,114300.1,1.0,2179526,2179526,1758591638675,true
1253760,114300.0,1.0,2179527,2179527,1758591638675,true
1253761,114287.6,48.0,2179528,2179529,1758591638824,true
1253762,114287.7,53.0,2179530,2179533,1758591640771,false
1253763,114306.2,4.0,2179534,2179535,1758591655883,false
1253764,114293.1,144.0,2179536,2179539,1758591716621,true
1253765,114293.2,4.0,2179540,2179541,1758591717275,false
1253766,114306.1,4.0,2179542,2179542,1758591741457,true
1253767,114281.2,34.0,2179543,2179545,1758591745059,true
1253768,114279.8,4.0,2179546,2179546,1758591745112,true
1253769,114250.1,5.0,2179547,2179548,1758591768252,false
1253770,114266.5,4.0,2179549,2179550,1758591781278,false
1253771,114285.6,4.0,2179551,2179551,1758591800582,true
1253772,114285.3,52.0,2179552,2179552,1758591800582,true
1253773,114260.2,35.0,2179553,2179555,1758591820092,false
1253774,114260.2,21.0,2179556,2179556,1758591821840,false
1253775,114260.2,9.0,2179557,2179557,1758591825489,false
1253776,114262.2,48.0,2179558,2179561,1758591825541,false
1253777,114271.7,60.0,2179562,2179562,1758591834431,false
1253778,114283.0,68.0,2179563,2179564,1758591840829,true
1253779,114276.6,61.0,2179565,2179567,1758591893081,false
1253780,114306.1,467.0,2179568,2179572,1758591967950,true
1253781,114306.0,24.0,2179573,2179573,1758591967951,true
1253782,114305.5,9.0,2179574,2179574,1758591967951,true
1253783,114306.1,120.0,2179575,2179577,1758591967959,true
1253784,114305.6,27.0,2179578,2179578,1758591967959,true
1253785,114305.7,4.0,2179579,2179580,1758591989112,false
1253786,114332.1,6.0,2179581,2179581,1758592000107,false
1253787,114336.6,1.0,2179582,2179582,1758592031541,true
1253788,114336.6,4.0,2179583,2179584,1758592031693,true
1253789,114309.1,8.0,2179585,2179586,1758592067064,false
1253790,114320.7,37.0,2179587,2179588,1758592133505,true
1253791,114306.2,4.0,2179589,2179589,1758592181755,true
1253792,114283.3,4.0,2179590,2179590,1758592208248,true
1253793,114279.0,108.0,2179591,2179591,1758592209789,true
1253794,114269.0,3.0,2179592,2179592,1758592219039,true
1253795,114250.0,7.0,2179593,2179593,1758592238043,true
1253796,114222.3,46.0,2179594,2179596,1758592253332,false
1253797,114233.9,4.0,2179597,2179597,1758592274954,true
1253798,114222.2,8.0,2179598,2179599,1758592283366,true
1253799,114220.1,4.0,2179600,2179600,1758592283367,true
1253800,114214.3,5.0,2179601,2179601,1758592283368,true
1253801,114208.6,1.0,2179602,2179602,1758592283420,true
1253802,114204.8,1.0,2179603,2179603,1758592283420,true
1253803,114186.6,4.0,2179604,2179604,1758592299836,false
1253804,114208.7,114.0,2179605,2179606,1758592301927,false
1253805,114208.6,3.0,2179607,2179607,1758592332376,true
1253806,114162.0,1.0,2179608,2179608,1758592383970,true
